experiment_id,experiment_title,epoch,epoch_amount,train_avg_loss,train_acc,test_avg_loss,test_acc,experiment_params,timestamp
0,SGD_100_epochs_batch_size_16_lr_0.35,1,100,1.4938844556236268,0.44880000000000003,1.229311869239807,0.5568000000000001,"{""optimizer_name"": ""SGD"", ""lr_scheduler_name"": """", ""params"": {""epochs"": 100, ""batch_size"": 16, ""lr"": 0.35}}",2020-01-04 20:16:19.546820
0,SGD_100_epochs_batch_size_16_lr_0.35,2,100,0.951982479557991,0.6647000000000001,0.880647083902359,0.6873,"{""optimizer_name"": ""SGD"", ""lr_scheduler_name"": """", ""params"": {""epochs"": 100, ""batch_size"": 16, ""lr"": 0.35}}",2020-01-04 20:16:56.102088
0,SGD_100_epochs_batch_size_16_lr_0.35,3,100,0.745894342546463,0.7399000000000001,0.7249060195922852,0.7514000000000001,"{""optimizer_name"": ""SGD"", ""lr_scheduler_name"": """", ""params"": {""epochs"": 100, ""batch_size"": 16, ""lr"": 0.35}}",2020-01-04 20:17:32.884534
0,SGD_100_epochs_batch_size_16_lr_0.35,4,100,0.6260855136442185,0.78266,0.5969881557226181,0.7986000000000001,"{""optimizer_name"": ""SGD"", ""lr_scheduler_name"": """", ""params"": {""epochs"": 100, ""batch_size"": 16, ""lr"": 0.35}}",2020-01-04 20:18:09.471123
0,SGD_100_epochs_batch_size_16_lr_0.35,5,100,0.5408167774057389,0.8123800000000001,0.6005326676130295,0.797,"{""optimizer_name"": ""SGD"", ""lr_scheduler_name"": """", ""params"": {""epochs"": 100, ""batch_size"": 16, ""lr"": 0.35}}",2020-01-04 20:18:46.282607
0,SGD_100_epochs_batch_size_16_lr_0.35,6,100,0.47562964007854464,0.8352,0.6160328995466232,0.7941,"{""optimizer_name"": ""SGD"", ""lr_scheduler_name"": """", ""params"": {""epochs"": 100, ""batch_size"": 16, ""lr"": 0.35}}",2020-01-04 20:19:23.034773
0,SGD_100_epochs_batch_size_16_lr_0.35,7,100,0.42149581359386445,0.8528800000000001,0.6353060681819915,0.7889,"{""optimizer_name"": ""SGD"", ""lr_scheduler_name"": """", ""params"": {""epochs"": 100, ""batch_size"": 16, ""lr"": 0.35}}",2020-01-04 20:19:59.601949
0,SGD_100_epochs_batch_size_16_lr_0.35,8,100,0.3749310177326202,0.8692400000000001,0.6043902011752129,0.8066,"{""optimizer_name"": ""SGD"", ""lr_scheduler_name"": """", ""params"": {""epochs"": 100, ""batch_size"": 16, ""lr"": 0.35}}",2020-01-04 20:20:36.328837
0,SGD_100_epochs_batch_size_16_lr_0.35,9,100,0.3331731972193718,0.88404,0.6021310784816742,0.8073,"{""optimizer_name"": ""SGD"", ""lr_scheduler_name"": """", ""params"": {""epochs"": 100, ""batch_size"": 16, ""lr"": 0.35}}",2020-01-04 20:21:12.910127
0,SGD_100_epochs_batch_size_16_lr_0.35,10,100,0.29107247619628906,0.8982800000000001,0.6283867254972458,0.8003,"{""optimizer_name"": ""SGD"", ""lr_scheduler_name"": """", ""params"": {""epochs"": 100, ""batch_size"": 16, ""lr"": 0.35}}",2020-01-04 20:21:49.609766
0,SGD_100_epochs_batch_size_16_lr_0.35,11,100,0.26087580467939375,0.9071400000000001,0.6306660604000092,0.8135,"{""optimizer_name"": ""SGD"", ""lr_scheduler_name"": """", ""params"": {""epochs"": 100, ""batch_size"": 16, ""lr"": 0.35}}",2020-01-04 20:22:26.125495
